iter	Passed	Remaining
0	0	156
1	0	138
2	1	146
3	2	153
4	2	150
5	3	153
6	3	151
7	4	153
8	5	163
9	5	165
10	6	172
11	7	170
12	7	164
13	7	159
14	8	158
15	8	154
16	9	151
17	9	155
18	10	155
19	10	152
20	11	151
21	11	149
22	12	148
23	12	147
24	13	146
25	13	144
26	14	143
27	14	142
28	15	142
29	15	143
30	16	142
31	16	141
32	17	141
33	17	140
34	18	138
35	18	138
36	19	138
37	19	137
38	20	135
39	20	135
40	21	134
41	21	132
42	22	131
43	22	130
44	22	128
45	23	128
46	23	127
47	24	126
48	24	125
49	25	125
50	25	125
51	26	124
52	26	123
53	26	122
54	27	121
55	27	120
56	28	120
57	28	120
58	29	119
59	29	119
60	30	118
61	30	118
62	31	118
63	31	117
64	32	117
65	32	116
66	33	116
67	33	115
68	34	115
69	34	114
70	35	114
71	35	113
72	36	112
73	36	112
74	37	113
75	38	113
76	39	113
77	39	113
78	40	112
79	40	112
80	41	112
81	42	111
82	42	111
83	43	111
84	44	111
85	44	111
86	45	110
87	45	110
88	46	110
89	46	109
90	47	109
91	48	108
92	48	108
93	49	107
94	49	107
95	50	107
96	51	106
97	51	106
98	52	106
99	52	105
100	53	105
101	54	104
102	54	104
103	55	103
104	55	103
105	56	102
106	56	102
107	57	102
108	57	101
109	58	100
110	59	100
111	59	100
112	60	99
113	60	99
114	61	98
115	61	97
116	62	97
117	63	97
118	63	96
119	64	96
120	64	96
121	65	95
122	66	95
123	66	94
124	67	94
125	67	93
126	68	93
127	69	92
128	69	92
129	70	91
130	70	91
131	71	90
132	71	90
133	72	89
134	72	88
135	73	88
136	73	87
137	74	87
138	74	86
139	75	86
140	76	85
141	76	85
142	77	84
143	77	84
144	78	84
145	79	83
146	80	83
147	80	83
148	81	82
149	82	82
150	82	81
151	83	80
152	83	80
153	84	80
154	85	79
155	85	79
156	86	78
157	86	78
158	87	77
159	87	76
160	88	76
161	89	75
162	89	75
163	90	74
164	90	74
165	91	73
166	92	73
167	92	72
168	93	72
169	94	71
170	94	71
171	95	70
172	95	70
173	96	69
174	96	69
175	97	68
176	98	68
177	98	67
178	99	67
179	100	66
180	100	66
181	101	65
182	101	65
183	102	64
184	102	63
185	103	63
186	103	62
187	104	62
188	105	61
189	105	61
190	106	60
191	107	60
192	107	59
193	108	59
194	108	58
195	109	58
196	110	57
197	110	56
198	111	56
199	111	55
200	112	55
201	112	54
202	113	54
203	113	53
204	113	52
205	114	52
206	114	51
207	115	51
208	116	50
209	116	49
210	116	49
211	117	48
212	117	48
213	118	47
214	119	47
215	119	46
216	120	45
217	120	45
218	121	44
219	121	44
220	122	43
221	122	43
222	123	42
223	123	42
224	124	41
225	124	40
226	125	40
227	126	39
228	126	39
229	127	38
230	127	38
231	128	37
232	129	37
233	129	36
234	129	35
235	130	35
236	130	34
237	131	34
238	131	33
239	132	33
240	133	32
241	133	32
242	134	31
243	134	30
244	135	30
245	135	29
246	136	29
247	136	28
248	137	28
249	137	27
250	138	26
251	138	26
252	139	25
253	139	25
254	140	24
255	140	24
256	141	23
257	141	23
258	142	22
259	142	21
260	143	21
261	143	20
262	144	20
263	144	19
264	145	19
265	145	18
266	146	18
267	147	17
268	147	17
269	148	16
270	148	15
271	149	15
272	149	14
273	150	14
274	151	13
275	151	13
276	152	12
277	152	12
278	153	11
279	153	10
280	154	10
281	154	9
282	155	9
283	155	8
284	156	8
285	156	7
286	157	7
287	157	6
288	158	6
289	158	5
290	159	4
291	160	4
292	160	3
293	161	3
294	162	2
295	163	2
296	163	1
297	164	1
298	164	0
299	165	0
