class_name,file,total_duration,total_words,speech_rate_wps,num_pauses,duration_pauses,ratio_pauses_to_duration
10A1,1_prob.csv,77.7,178,2.290862291,11,6.08,0.078249678
10A1,2_prob.csv,93.78,152,1.620814673,13,7.28,0.077628492
10A1,4_prob.csv,128.7,278,2.16006216,22,12.7,0.098679099
10A1,5_prob.csv,87.84,154,1.753187614,18,16.76,0.190801457
10A1,6_prob.csv,96.46,210,2.177068215,32,18.7,0.193862741
10A1,7_prob.csv,63.1,66,1.045958796,4,3.52,0.055784469
10A1,8_prob.csv,102.26,160,1.564639155,11,8.36,0.081752396
10A1,9_prob.csv,44.78,98,2.188476999,8,4.26,0.095131755
10A1,10_prob.csv,76.82,153,1.991668836,12,6.6,0.085915126
10A1,11_prob.csv,101.82,205,2.013356904,12,8.6,0.084462777
10A1,13_prob.csv,72.04,177,2.456968351,2,0.96,0.01332593
10A1,14_prob.csv,96.24,173,1.79758936,3,3.56,0.036990856
10A1,15_prob.csv,89.28,131,1.467293907,16,15.9,0.178091398
10A1,16_prob.csv,96.16,172,1.788685524,7,6.56,0.068219634
10A1,17_prob.csv,86.5,182,2.104046243,13,10.21,0.118034682
10A1,18_prob.csv,108.65,131,1.205706397,17,26.54,0.244270594
10A1,19_prob.csv,74.04,70,0.9454349,11,10.43,0.1408698
10A1,20_prob.csv,72.26,146,2.020481594,11,7.04,0.097425962
10A1,21_prob.csv,95.3,119,1.248688353,7,16.96,0.177964323
10A1,22_prob.csv,69.2,78,1.12716763,3,6.74,0.097398844
10A1,23_prob.csv,97.02,169,1.741908885,8,15.12,0.155844156
10A1,24_prob.csv,124.94,143,1.144549384,10,14.08,0.112694093
10A1,25_prob.csv,78.16,133,1.701637666,9,8.24,0.10542477
10A1,26_prob.csv,79.44,170,2.139979859,18,10.84,0.136455186
10A1,27_prob.csv,143.72,315,2.191761759,12,7.4,0.051489006
10A1,29_prob.csv,67.7,117,1.728212703,11,7.6,0.11225997
10A1,30_prob.csv,63.08,116,1.838934686,16,10.36,0.164235891
10A1,31_prob.csv,95.44,110,1.15255658,7,11.44,0.119865884
10A1,32_prob.csv,114,224,1.964912281,16,9.66,0.084736842
10A1,34_prob.csv,51.54,73,1.416375631,5,3.3,0.064027939
10A1,35_prob.csv,114.36,176,1.53899965,1,0.64,0.005596362
11A1,36_prob.csv,140.28,263,1.874821785,26,20.06,0.142999715
11A1,37_prob.csv,75.66,176,2.326196141,18,10.08,0.133227597
11A1,38_prob.csv,59.36,140,2.358490566,15,11.2,0.188679245
11A1,39_prob.csv,54.12,120,2.2172949,10,7.4,0.136733186
11A1,40_prob.csv,229.58,405,1.764090949,52,38.76,0.168830037
11A1,41_prob.csv,78.08,188,2.407786885,18,11.8,0.151127049
11A1,42_prob.csv,166.04,319,1.921223801,32,24.95,0.150264996
11A1,43_prob.csv,325.82,508,1.559143085,40,35.58,0.1092014
11A1,44_prob.csv,132.22,315,2.382392981,34,23.18,0.175313871
11A1,45_prob.csv,243.16,467,1.920546142,47,33.04,0.135877611
11A1,46_prob.csv,94.84,185,1.950653733,19,13.9,0.146562632
11A1,47_prob.csv,159.48,319,2.000250815,30,25.64,0.160772511
11A1,48_prob.csv,111.84,194,1.734620887,12,12.82,0.11462804
11A1,49_prob.csv,139.6,246,1.76217765,25,21.57,0.154512894
11A1,50_prob.csv,72.74,164,2.254605444,20,13.68,0.188067088
11A1,51_prob.csv,110.44,218,1.973922492,31,21.1,0.191053966
11A1,52_prob.csv,158.94,344,2.164338744,24,15.42,0.097017743
11A1,53_prob.csv,85.4,209,2.447306792,24,17.72,0.207494145
11A1,54_prob.csv,60.6,123,2.02970297,10,8.8,0.145214521
11A1,55_prob.csv,236.96,500,2.11006077,2,1.72,0.007258609
11A1,56_prob.csv,101.9,199,1.952894995,26,17.68,0.173503435
11A1,57_prob.csv,143.04,280,1.957494407,25,18.16,0.126957494
