class_name,file,unique_types,total_tokens,TTR,MSTTR
10A1,1_prob.csv,78,178,0.438202247,0.66
10A1,2_prob.csv,75,152,0.493421053,0.726666667
10A1,4_prob.csv,121,278,0.435251799,0.756
10A1,5_prob.csv,78,154,0.506493506,0.72
10A1,6_prob.csv,103,210,0.49047619,0.74
10A1,7_prob.csv,46,66,0.696969697,0.76
10A1,8_prob.csv,75,160,0.46875,0.713333333
10A1,9_prob.csv,65,98,0.663265306,0.8
10A1,10_prob.csv,82,153,0.535947712,0.713333333
10A1,11_prob.csv,99,205,0.482926829,0.735
10A1,13_prob.csv,77,177,0.435028249,0.753333333
10A1,14_prob.csv,84,173,0.485549133,0.74
10A1,15_prob.csv,75,131,0.572519084,0.79
10A1,16_prob.csv,88,172,0.511627907,0.726666667
10A1,17_prob.csv,96,182,0.527472527,0.766666667
10A1,18_prob.csv,70,131,0.534351145,0.75
10A1,19_prob.csv,45,70,0.642857143,0.76
10A1,20_prob.csv,87,146,0.595890411,0.8
10A1,21_prob.csv,68,119,0.571428571,0.72
10A1,22_prob.csv,56,78,0.717948718,0.8
10A1,23_prob.csv,91,169,0.538461538,0.773333333
10A1,24_prob.csv,72,143,0.503496503,0.74
10A1,25_prob.csv,81,133,0.609022556,0.79
10A1,26_prob.csv,93,170,0.547058824,0.78
10A1,27_prob.csv,123,315,0.39047619,0.733333333
10A1,29_prob.csv,89,117,0.760683761,0.86
10A1,30_prob.csv,63,116,0.543103448,0.71
10A1,31_prob.csv,74,110,0.672727273,0.8
10A1,32_prob.csv,125,224,0.558035714,0.76
10A1,34_prob.csv,45,73,0.616438356,0.66
10A1,35_prob.csv,83,176,0.471590909,0.72
11A1,36_prob.csv,171,263,0.650190114,0.868
11A1,37_prob.csv,110,176,0.625,0.833333333
11A1,38_prob.csv,94,138,0.68115942,0.82
11A1,39_prob.csv,87,120,0.725,0.83
11A1,40_prob.csv,218,405,0.538271605,0.85
11A1,41_prob.csv,123,187,0.657754011,0.833333333
11A1,42_prob.csv,188,319,0.589341693,0.87
11A1,43_prob.csv,271,508,0.533464567,0.872
11A1,44_prob.csv,176,315,0.558730159,0.836666667
11A1,45_prob.csv,216,466,0.463519313,0.802222222
11A1,46_prob.csv,109,185,0.589189189,0.793333333
11A1,47_prob.csv,174,318,0.547169811,0.883333333
11A1,48_prob.csv,104,193,0.538860104,0.773333333
11A1,49_prob.csv,144,246,0.585365854,0.865
11A1,50_prob.csv,116,164,0.707317073,0.9
11A1,51_prob.csv,147,218,0.674311927,0.88
11A1,52_prob.csv,147,344,0.427325581,0.77
11A1,53_prob.csv,136,209,0.650717703,0.91
11A1,54_prob.csv,82,123,0.666666667,0.72
11A1,55_prob.csv,198,500,0.396,0.728
11A1,56_prob.csv,132,199,0.663316583,0.833333333
11A1,57_prob.csv,175,280,0.625,0.856
