target,feature,coefficient,abs_coefficient
fluency,flu_speech_rate,0.33144134040826684,0.33144134040826684
fluency,flu_pause_ratio,0.06787736128099245,0.06787736128099245
lexical,lex_A1,22783286.70657868,22783286.70657868
lexical,lex_A2,13452834.334401121,13452834.334401121
lexical,lex_B2,13007758.930602534,13007758.930602534
lexical,lex_B1,10371877.687782796,10371877.687782796
lexical,lex_C1,3893495.5785878873,3893495.5785878873
lexical,lex_MSTTR,0.43826094662782744,0.43826094662782744
lexical,lex_TTR,-0.36840728606012124,0.36840728606012124
pronunciation,pro_95%-100%,113077434.66225785,113077434.66225785
pronunciation,pro_0%-50%,63132087.06407918,63132087.06407918
pronunciation,pro_50%-70%,31256747.99182286,31256747.99182286
pronunciation,pro_85%-95%,28855482.87393705,28855482.87393705
pronunciation,pro_70%-85%,26406268.140334584,26406268.140334584
grammar,gra_error_rate,-0.1812120610468467,0.1812120610468467
grammar,gra_total_errors,0.07857490237150441,0.07857490237150441
grammar,gra_ratio_error_sentences,0.016587829445402165,0.016587829445402165
overall,pro_95%-100%,284966154.26187,284966154.26187
overall,pro_0%-50%,159099011.83792195,159099011.83792195
overall,pro_50%-70%,78770050.85822785,78770050.85822785
overall,pro_85%-95%,72718628.90685564,72718628.90685564
overall,pro_70%-85%,66546368.8945346,66546368.8945346
overall,lex_A1,64740905.68652384,64740905.68652384
overall,lex_A2,38227525.091991946,38227525.091991946
overall,lex_B2,36962800.52217352,36962800.52217352
overall,lex_B1,29472690.167277325,29472690.167277325
overall,lex_C1,11063743.250647908,11063743.250647908
overall,lex_MSTTR,0.22147287354367817,0.22147287354367817
overall,lex_TTR,-0.0945542465169975,0.0945542465169975
overall,flu_pause_ratio,-0.08291013402653286,0.08291013402653286
overall,gra_total_errors,0.0533607297060531,0.0533607297060531
overall,flu_speech_rate,0.04476437589889942,0.04476437589889942
overall,gra_error_rate,0.03379570917393361,0.03379570917393361
overall,gra_ratio_error_sentences,-0.013312040417947858,0.013312040417947858
