fold,feature,coefficient,abs_coefficient
1,pro_95%-100%,171837009.54365647,171837009.54365647
1,pro_0%-50%,92956281.170881,92956281.170881
1,lex_A1,-55647312.52048641,55647312.52048641
1,pro_50%-70%,48515161.48065092,48515161.48065092
1,pro_85%-95%,46856731.623030625,46856731.623030625
1,pro_70%-85%,38597833.34977095,38597833.34977095
1,lex_A2,-32053007.894921284,32053007.894921284
1,lex_B2,-30578699.939848218,30578699.939848218
1,lex_B1,-25927491.02535647,25927491.02535647
1,lex_C1,-8939925.58078079,8939925.58078079
1,gra_total_errors,0.4595445161112445,0.4595445161112445
1,gra_error_rate,-0.30236680152124823,0.30236680152124823
1,gra_ratio_error_sentences,-0.19657661398874776,0.19657661398874776
1,flu_pause_ratio,-0.1587916507939977,0.1587916507939977
1,lex_MSTTR,0.11661625862294149,0.11661625862294149
1,flu_speech_rate,0.0680517181677108,0.0680517181677108
1,lex_TTR,-0.05254106838452676,0.05254106838452676
2,pro_95%-100%,137551966.27175865,137551966.27175865
2,pro_0%-50%,78411634.04403897,78411634.04403897
2,lex_A1,74107867.5181741,74107867.5181741
2,lex_B2,45248557.17323304,45248557.17323304
2,lex_A2,39976418.5798488,39976418.5798488
2,pro_50%-70%,38325940.25075084,38325940.25075084
2,pro_85%-95%,33007336.319852322,33007336.319852322
2,lex_B1,32783919.555917896,32783919.555917896
2,pro_70%-85%,31467889.72322468,31467889.72322468
2,lex_C1,13114930.619316269,13114930.619316269
2,lex_MSTTR,0.37813393482488716,0.37813393482488716
2,lex_TTR,-0.12655929836669189,0.12655929836669189
2,flu_pause_ratio,-0.1019848206647557,0.1019848206647557
2,gra_error_rate,0.0937745245764667,0.0937745245764667
2,gra_ratio_error_sentences,-0.06855280830402402,0.06855280830402402
2,flu_speech_rate,0.05112833043579702,0.05112833043579702
2,gra_total_errors,0.010315577810614148,0.010315577810614148
3,pro_95%-100%,227909875.24391684,227909875.24391684
3,pro_0%-50%,131577506.85631007,131577506.85631007
3,lex_A1,96991513.34101446,96991513.34101446
3,lex_A2,65527536.943736784,65527536.943736784
3,pro_50%-70%,64715615.62631404,64715615.62631404
3,pro_85%-95%,58181422.62180959,58181422.62180959
3,lex_B2,54648287.29238558,54648287.29238558
3,pro_70%-85%,53539585.06172905,53539585.06172905
3,lex_B1,50272449.891062684,50272449.891062684
3,lex_C1,18829880.58486816,18829880.58486816
3,lex_MSTTR,0.16877554766634817,0.16877554766634817
3,gra_error_rate,-0.12182718757086676,0.12182718757086676
3,gra_ratio_error_sentences,0.11145682157636078,0.11145682157636078
3,lex_TTR,-0.10092716942698758,0.10092716942698758
3,gra_total_errors,0.08093357733134648,0.08093357733134648
3,flu_speech_rate,0.047759204624845585,0.047759204624845585
3,flu_pause_ratio,-0.01157378881036289,0.01157378881036289
4,pro_95%-100%,468118764.24910456,468118764.24910456
4,pro_0%-50%,254416280.7885448,254416280.7885448
4,pro_50%-70%,125835152.39113306,125835152.39113306
4,pro_85%-95%,114761247.95251587,114761247.95251587
4,pro_70%-85%,108057487.98204495,108057487.98204495
4,lex_A1,30186205.516766727,30186205.516766727
4,lex_B2,17524723.36090311,17524723.36090311
4,lex_A2,17181855.277465127,17181855.277465127
4,lex_B1,11509074.849804278,11509074.849804278
4,lex_C1,4650900.209868395,4650900.209868395
4,lex_MSTTR,0.17890382798004542,0.17890382798004542
4,flu_pause_ratio,-0.14404713223023868,0.14404713223023868
4,gra_error_rate,0.13554175895749612,0.13554175895749612
4,gra_total_errors,-0.12537258588602815,0.12537258588602815
4,gra_ratio_error_sentences,0.10924739608602752,0.10924739608602752
4,lex_TTR,-0.09803064599804107,0.09803064599804107
4,flu_speech_rate,0.09299797160324409,0.09299797160324409
5,pro_95%-100%,338645880.9956084,338645880.9956084
5,pro_0%-50%,189201122.64454827,189201122.64454827
5,pro_85%-95%,90897971.3880842,90897971.3880842
5,pro_50%-70%,90304002.03637649,90304002.03637649
5,pro_70%-85%,83893707.55024739,83893707.55024739
5,lex_A1,79200015.71465383,79200015.71465383
5,lex_A2,47586011.83220629,47586011.83220629
5,lex_B2,42366067.47738381,42366067.47738381
5,lex_B1,38129643.282641694,38129643.282641694
5,lex_C1,13707154.373241847,13707154.373241847
5,lex_MSTTR,0.19369875694752184,0.19369875694752184
5,flu_pause_ratio,-0.1424556414788318,0.1424556414788318
5,gra_ratio_error_sentences,-0.12483134461274714,0.12483134461274714
5,gra_error_rate,0.10643157970841712,0.10643157970841712
5,lex_TTR,-0.09211011967790778,0.09211011967790778
5,gra_total_errors,0.05346362413659675,0.05346362413659675
5,flu_speech_rate,0.025133760684214967,0.025133760684214967
