iter	Passed	Remaining
0	0	121
1	0	107
2	1	100
3	1	101
4	1	107
5	2	108
6	2	105
7	2	104
8	3	101
9	3	102
10	3	99
11	4	97
12	4	95
13	4	95
14	5	96
15	5	95
16	5	94
17	6	94
18	6	93
19	6	92
20	7	93
21	7	92
22	7	93
23	8	93
24	8	93
25	8	91
26	9	91
27	9	91
28	9	90
29	9	89
30	10	89
31	10	89
32	11	89
33	11	89
34	11	88
35	12	89
36	12	88
37	12	88
38	13	88
39	13	87
40	13	87
41	14	87
42	14	87
43	14	86
44	15	86
45	15	86
46	15	85
47	16	85
48	16	84
49	16	84
50	17	84
51	17	83
52	17	83
53	18	83
54	18	83
55	19	83
56	19	83
57	19	83
58	20	83
59	20	83
60	21	82
61	21	82
62	21	82
63	22	81
64	22	81
65	22	81
66	23	80
67	23	80
68	23	80
69	24	80
70	24	79
71	25	79
72	25	79
73	25	78
74	26	78
75	26	78
76	26	78
77	27	78
78	27	77
79	28	77
80	28	77
81	29	77
82	29	77
83	29	76
84	30	76
85	30	76
86	30	75
87	31	75
88	31	75
89	32	75
90	32	75
91	33	74
92	33	74
93	33	74
94	34	73
95	34	73
96	34	73
97	35	72
98	35	72
99	36	72
100	36	72
101	37	72
102	37	72
103	38	72
104	38	71
105	39	72
106	39	72
107	40	71
108	40	71
109	41	71
110	41	71
111	42	70
112	42	70
113	42	70
114	43	69
115	43	69
116	44	68
117	44	68
118	45	68
119	45	68
120	45	67
121	46	67
122	46	67
123	47	66
124	47	66
125	47	66
126	48	65
127	48	65
128	49	65
129	49	65
130	50	64
131	50	64
132	51	64
133	52	64
134	52	64
135	53	64
136	53	63
137	54	63
138	54	63
139	55	63
140	55	62
141	56	62
142	56	62
143	57	62
144	57	61
145	58	61
146	58	61
147	59	61
148	60	60
149	60	60
150	61	60
151	61	59
152	62	59
153	62	59
154	63	59
155	63	58
156	64	58
157	64	58
158	65	58
159	65	57
160	66	57
161	66	56
162	67	56
163	67	56
164	68	55
165	68	55
166	69	55
167	69	54
168	70	54
169	70	53
170	70	53
171	71	53
172	72	52
173	72	52
174	72	52
175	73	51
176	73	51
177	74	50
178	74	50
179	74	49
180	75	49
181	75	49
182	76	48
183	76	48
184	76	47
185	77	47
186	77	46
187	78	46
188	78	46
189	78	45
190	79	45
191	79	44
192	80	44
193	80	43
194	80	43
195	81	43
196	81	42
197	82	42
198	82	41
199	83	41
200	83	41
201	83	40
202	84	40
203	84	39
204	84	39
205	85	38
206	85	38
207	85	37
208	86	37
209	86	37
210	87	36
211	87	36
212	88	35
213	88	35
214	88	35
215	89	34
216	89	34
217	89	33
218	90	33
219	90	32
220	91	32
221	91	32
222	92	31
223	92	31
224	92	30
225	93	30
226	93	30
227	93	29
228	94	29
229	94	28
230	94	28
231	95	27
232	95	27
233	96	27
234	96	26
235	96	26
236	97	25
237	97	25
238	98	25
239	98	24
240	98	24
241	99	23
242	99	23
243	99	22
244	100	22
245	100	22
246	100	21
247	101	21
248	101	20
249	101	20
250	102	19
251	102	19
252	103	19
253	103	18
254	103	18
255	104	17
256	104	17
257	104	17
258	105	16
259	105	16
260	106	15
261	106	15
262	106	15
263	107	14
264	107	14
265	108	13
266	108	13
267	109	13
268	109	12
269	109	12
270	110	11
271	110	11
272	110	10
273	111	10
274	111	10
275	112	9
276	112	9
277	113	8
278	113	8
279	113	8
280	114	7
281	114	7
282	115	6
283	115	6
284	115	6
285	116	5
286	116	5
287	117	4
288	117	4
289	118	4
290	118	3
291	118	3
292	119	2
293	119	2
294	120	2
295	120	1
296	121	1
297	121	0
298	121	0
299	122	0
